sampling_interval_ms,correlation,ci_lower,ci_upper,n_observations
100,0.437415,0.417361,0.454724,6047974
250,0.58373,0.572689,0.593093,2419189
500,0.660034,0.650683,0.668705,1209594
1000,0.718751,0.710385,0.726014,604797
2000,0.763174,0.7552,0.770192,302398
5000,0.807661,0.796864,0.819135,120959
10000,0.829759,0.819421,0.841633,60479
30000,0.863067,0.843071,0.880492,20159
60000,0.882811,0.847738,0.914001,10079
300000,0.859733,0.836322,0.880644,2015
