method,covariance_total,covariance_daily,correlation,corr_ci_lower,corr_ci_upper,rv_btc_daily,rv_eth_daily,se_cov_daily,n_observations,n_days
refresh_100ms,0.0020376539819062546,0.0002910934259866078,0.44917400744793806,0.44853758776718616,0.44980997163128217,0.00040424020679897664,0.0010389533649195705,0.00011363246462794288,6047918,7
hayashi_yoshida,0.000541921752764393,7.741739325205614e-05,0.042802197589514014,0.042361955727069786,0.043242422830898526,0.0009970298151329659,0.003281231009367892,2.564224537845522e-05,19749365,7
preavg_hy,0.196487508791666,0.028069644113095142,0.8165537708135485,0.8164067327845913,0.8167007029648669,0.020454322299799994,0.05777223118457938,0.009521958653279898,19746030,7
