sampling_interval_ms,delta_sec,rv_btc_daily,rv_eth_daily,rcov_daily,n_observations,duration_days
100,0.1,0.0004147045510057426,0.0010896389045558983,0.0002940389140058951,6047974,7.0
250,0.25,0.00047867963046752826,0.0011813803905741714,0.00043896497738016077,2419189,7.0
500,0.5,0.0005353417821561586,0.001297129258541961,0.0005500145291613859,1209594,7.0
1000,1.0,0.0005994740307732308,0.0014167311918645631,0.0006623816218040699,604797,7.0
2000,2.0,0.0006625782425013934,0.001535533100831671,0.0007697915639887196,302398,7.0
5000,5.0,0.0007442983014090995,0.0016749568621831918,0.0009017937094790619,120959,7.0
10000,10.0,0.0007767400070317019,0.0017505537748310972,0.0009675679857301874,60479,7.0
30000,30.0,0.0008470784054752064,0.001915020760703361,0.0010992639041966475,20159,7.0
60000,60.0,0.0009036669723758344,0.002148886303190701,0.0012302471673762178,10079,7.0
