sampling_interval_ms,peak_lag,peak_lag_ms,peak_ccf,peak_significant,significance_threshold,boot_peak_lag_ci_lower,boot_peak_lag_ci_upper,boot_peak_lag_ms_ci_lower,boot_peak_lag_ms_ci_upper,n_observations
500,0,0,0.660034,True,0.001782,0.0,0.0,0.0,0.0,1209594
1000,0,0,0.718751,True,0.00252,0.0,0.0,0.0,0.0,604797
2000,0,0,0.763174,True,0.003564,0.0,0.0,0.0,0.0,302398
5000,0,0,0.807661,True,0.005636,0.0,0.0,0.0,0.0,120959
10000,0,0,0.829759,True,0.00797,0.0,0.0,0.0,0.0,60479
30000,0,0,0.863067,True,0.013805,0.0,0.0,0.0,0.0,20159
