bootstrap_iteration,theta_ms
0,7.142857142857143
1,3.5714285714285716
2,5.714285714285714
3,7.142857142857143
4,7.142857142857143
5,6.428571428571429
6,5.0
7,5.714285714285714
8,7.142857142857143
9,5.714285714285714
10,7.142857142857143
11,6.428571428571429
12,7.857142857142857
13,7.142857142857143
14,5.714285714285714
15,8.571428571428571
16,6.428571428571429
17,5.714285714285714
18,7.142857142857143
19,5.714285714285714
20,7.857142857142857
21,7.142857142857143
22,7.857142857142857
23,5.714285714285714
24,6.428571428571429
25,6.428571428571429
26,7.857142857142857
27,7.857142857142857
28,4.285714285714286
29,6.428571428571429
30,6.428571428571429
31,5.0
32,5.0
33,5.0
34,7.857142857142857
35,6.428571428571429
36,7.142857142857143
37,8.571428571428571
38,8.571428571428571
39,6.428571428571429
40,4.285714285714286
41,4.285714285714286
42,7.857142857142857
43,7.857142857142857
44,5.714285714285714
45,4.285714285714286
46,6.428571428571429
47,6.428571428571429
48,4.285714285714286
49,6.428571428571429
50,5.0
51,5.0
52,9.285714285714286
53,5.0
54,8.571428571428571
55,7.142857142857143
56,3.5714285714285716
57,7.142857142857143
58,7.142857142857143
59,5.714285714285714
60,7.142857142857143
61,5.714285714285714
62,4.285714285714286
63,6.428571428571429
64,6.428571428571429
65,7.142857142857143
66,7.857142857142857
67,7.142857142857143
68,5.0
69,6.428571428571429
70,5.714285714285714
71,5.0
72,7.857142857142857
73,7.142857142857143
74,3.5714285714285716
75,5.714285714285714
76,5.714285714285714
77,6.428571428571429
78,5.0
79,8.571428571428571
80,5.714285714285714
81,6.428571428571429
82,6.428571428571429
83,5.0
84,5.714285714285714
85,5.714285714285714
86,5.0
87,7.142857142857143
88,6.428571428571429
89,5.714285714285714
90,9.285714285714286
91,7.142857142857143
92,5.0
93,5.0
94,5.0
95,7.142857142857143
96,7.142857142857143
97,7.142857142857143
98,5.0
99,7.857142857142857
100,5.714285714285714
101,4.285714285714286
102,6.428571428571429
103,7.857142857142857
104,5.714285714285714
105,5.714285714285714
106,5.714285714285714
107,7.142857142857143
108,6.428571428571429
109,6.428571428571429
110,5.0
111,7.857142857142857
112,7.142857142857143
113,5.714285714285714
114,6.428571428571429
115,6.428571428571429
116,6.428571428571429
117,6.428571428571429
118,6.428571428571429
119,5.714285714285714
120,8.571428571428571
121,4.285714285714286
122,6.428571428571429
123,6.428571428571429
124,3.5714285714285716
125,7.857142857142857
126,5.714285714285714
127,5.0
128,8.571428571428571
129,6.428571428571429
130,5.714285714285714
131,5.714285714285714
132,7.142857142857143
133,7.142857142857143
134,6.428571428571429
135,7.142857142857143
136,5.714285714285714
137,9.285714285714286
138,9.285714285714286
139,6.428571428571429
140,4.285714285714286
141,5.0
142,6.428571428571429
143,5.0
144,6.428571428571429
145,5.0
146,2.857142857142857
147,7.857142857142857
148,7.142857142857143
149,7.857142857142857
150,5.0
151,8.571428571428571
152,5.714285714285714
153,5.714285714285714
154,5.0
155,7.142857142857143
156,3.5714285714285716
157,6.428571428571429
158,6.428571428571429
159,7.142857142857143
160,6.428571428571429
161,5.714285714285714
162,5.714285714285714
163,6.428571428571429
164,5.714285714285714
165,5.714285714285714
166,6.428571428571429
167,5.714285714285714
168,6.428571428571429
169,4.285714285714286
170,6.428571428571429
171,6.428571428571429
172,7.142857142857143
173,2.857142857142857
174,5.0
175,6.428571428571429
176,7.142857142857143
177,7.142857142857143
178,6.428571428571429
179,7.142857142857143
180,6.428571428571429
181,6.428571428571429
182,7.857142857142857
183,5.714285714285714
184,5.714285714285714
185,6.428571428571429
186,5.0
187,9.285714285714286
188,6.428571428571429
189,6.428571428571429
190,6.428571428571429
191,6.428571428571429
192,6.428571428571429
193,5.714285714285714
194,6.428571428571429
195,6.428571428571429
196,2.857142857142857
197,7.857142857142857
198,7.142857142857143
199,7.142857142857143
