test,estimate,se,test_statistic,df,p_value,significant_5pct
Wald: alpha_ETH_from_BTC=0,0.4863513259204698,0.0869381540797464,31.29531872074579,1,2.216133676569143e-08,True
Wald: alpha_BTC_from_ETH=0,0.3105820645768289,0.0360434381937797,74.25066055948047,1,0.0,True
Asymmetry: α_EB - α_BE,0.1757692613436409,0.0607030429975581,2.895559310769834,6,0.0037848349931286496,True
