day,mu_BTC,mu_BTC_se,mu_ETH,mu_ETH_se,alpha_BTC_from_BTC,alpha_BTC_from_BTC_se,alpha_BTC_from_ETH,alpha_BTC_from_ETH_se,alpha_ETH_from_BTC,alpha_ETH_from_BTC_se,alpha_ETH_from_ETH,alpha_ETH_from_ETH_se,beta_BTC_from_BTC,beta_BTC_from_BTC_se,beta_BTC_from_ETH,beta_BTC_from_ETH_se,beta_ETH_from_BTC,beta_ETH_from_BTC_se,beta_ETH_from_ETH,beta_ETH_from_ETH_se,sigma_BTC,sigma_ETH,spectral_radius,neg_loglik,n_events,boundary_hits,converged
1,0.5515259410675774,3.6843538603919774,0.04722366076823695,1.233504178587101,0.29250607071351453,1.2496783035745738,0.28681680649698804,2.136418237367171,0.544366902879875,1.0900542543315246,0.38783569450663197,1.075312262667613,1000.0,1.0,8.239790020351723,278.99535249930227,0.1,1.0,171.2086496074141,273.7631850732585,4.931763630309675e-06,9.564791147430622e-06,0.7381727807711199,-175819.03834755401,213557,"beta_BTC_from_BTC,beta_ETH_from_BTC",True
2,0.536893187146945,1.0083622785420574,0.5361892614103791,0.7366115153537517,0.28682462315829194,0.613541285533189,0.2214460894255354,0.5914988325026638,0.23302269257206346,0.21494324258047998,0.3528372423673955,0.36177193131099544,1000.0,1.0,12.362056922960734,43.86559866369409,4.435481673237132,15.899421248317523,179.93330430772866,112.9985443006473,5.62936829648786e-06,9.340540363582351e-06,0.5493769640750921,-120502.07820821396,205217,beta_BTC_from_BTC,True
3,0.5204706925557476,0.7755688408018605,0.22919417541325668,1.8057057568283998,0.33065047105067746,0.7183535585027492,0.20619719280667434,0.4232005634231858,0.44861702742081566,1.3264817960678064,0.4174483630203912,0.9073533864732943,1000.0,1.0,11.211297654915139,44.53973449756882,0.2348600465132791,4.3396150658648756,207.33572511349334,267.58928560249126,5.6182071119083995e-06,8.899116201840971e-06,0.6812741559678729,-191327.99969442852,214303,beta_BTC_from_BTC,True
4,0.5576142380214032,0.7372264950464356,0.5171489267619953,0.9083745469624805,0.33601326768186973,0.5651471760907195,0.27406145628067274,0.6723896010736904,0.18713390466038912,0.2826828230817007,0.35816469651994887,0.5934794175759633,1000.0,1.0,10.666876720018676,70.63309320544522,12.073005603774387,79.82905423654344,233.03193113990835,254.61090214610178,6.002799363697749e-06,8.64228534933958e-06,0.5738242062735264,-194818.8777335137,218258,beta_BTC_from_BTC,True
5,0.4317976297016695,0.8251424653298175,0.08826313838880327,0.6032818496912907,0.2668081377770909,0.7889902983953313,0.3898981073775294,1.1828191955601595,0.5039145819935685,0.4498600694014353,0.4163639931631428,0.4276628213544058,1000.0,149.0843494170706,4.131973525109729,19.146043246083146,0.1,1.0,61.864692936046275,197.54341612938887,7.255112923115652e-06,9.771479680244459e-06,0.7911047861807172,-131754.62813828915,212174,"beta_BTC_from_BTC,beta_ETH_from_BTC",True
6,0.45627820230710947,1.4391463448543764,0.09134964545316936,1.6052664594495396,0.255534549756481,0.7097484875689732,0.3193769733971706,0.18852873096128028,0.6292845409739992,2.104409008172413,0.3455856191974257,0.26686749561190554,120.35151472076909,468.79699316204693,5.326634188007985,27.87141768100863,0.1,1.0,29.195936907121926,134.6143537171928,8.017456996697428e-06,1.1248107838445836e-05,0.7511222787174023,-1139.838274480775,206179,beta_ETH_from_BTC,True
7,0.20664141740736575,1.1074351045145072,0.04276251851588609,0.7866962356753419,0.23218350599567456,0.22782958957995364,0.4762778262532325,0.13964765720049047,0.8581196309425781,0.976357281975844,0.2608938269275665,0.3005378086617019,84.09805345718726,153.24618929484916,0.6797924707656722,3.7049096760861038,0.1,1.0,33.59906749200096,19.71276436601691,1.2441242051939634e-05,2.0947724378894566e-05,0.8859989256822858,-28255.36639967127,208487,beta_ETH_from_BTC,True
pooled,0.46588875831540255,0.046861462174861444,0.2217330466731038,0.08215938996367454,0.28578866087622856,0.014417560456917495,0.31058206457682896,0.036043438193779774,0.4863513259204698,0.08693815407974642,0.36273277652892894,0.020286193349369788,743.4927954539937,165.62193116272172,7.5169173574470936,1.622535302211432,2.4490496176464,1.7150677691454184,130.88132964338766,32.688815144941024,7.127992910593771e-06,1.1202006422825483e-05,0.7148142978021075,-843617.8267961513,1478175,,True
