lookback_ms,horizon_ms,beta,se_beta,t_statistic,p_value,r2_insample,r2_oos,n_train,n_test,significant_5pct
25,25,0.17324307521616406,0.0007851750794553588,220.64260538724065,0.0,0.009961622764447009,0.010263146838793369,4838390,2073597,True
25,50,0.28098067716695324,0.0011678631267671108,240.59384248629073,0.0,0.011822337591949283,0.012009648854526711,4838390,2073596,True
25,100,0.4128566042984157,0.0017556539774599676,235.15829975547084,0.0,0.011300159517960373,0.013090511691835838,4838388,2073596,True
25,200,0.5367184559643169,0.0026377018417504724,203.47957736122726,0.0,0.008484782315489103,0.010826686121879536,4838386,2073594,True
25,500,0.7059709071750871,0.004457974850376908,158.36134811648827,0.0,0.0051564834583262,0.006449835139312521,4838377,2073591,True
50,25,0.1229540886202084,0.0005190024503667159,236.9046399170788,0.0,0.011466681583597094,0.011710408999865307,4838390,2073596,True
50,50,0.2031388168949771,0.0007716484929905141,263.25304687334403,0.0,0.01412114018110644,0.014625810362452252,4838389,2073596,True
50,100,0.3049390752293813,0.0011597357765097227,262.9384049417784,0.0,0.01408788310537834,0.01704715024488379,4838388,2073595,True
50,200,0.40275038325757095,0.0017427111493847104,231.10564444358312,0.0,0.010918250398380791,0.014567147055211116,4838385,2073594,True
50,500,0.5475161124642207,0.0029461100822100175,185.8437387558522,0.0,0.0070877323410112325,0.008989305086366528,4838376,2073591,True
100,25,0.07842217243858371,0.00034206942200234287,229.25806106705028,0.0,0.010746237339743336,0.012388500755542653,4838388,2073596,True
100,50,0.13236897057381775,0.0005084801536822713,260.3227866716894,0.0,0.013812846866632866,0.01655310806089849,4838388,2073595,True
100,100,0.20178252617967354,0.0007640445151109006,264.09786627469595,0.0,0.014210638074940163,0.01919168283340389,4838386,2073595,True
100,200,0.2769950671732641,0.0011476170249872216,241.36542168878017,0.0,0.011897400545625825,0.01669040980810954,4838383,2073594,True
100,500,0.3950826230801455,0.00193966207891508,203.68631596959864,0.0,0.008501904938046478,0.010935880276785714,4838375,2073590,True
200,25,0.04413048075149382,0.00022538390300372765,195.80138671555412,0.0,0.007861465468151474,0.009874337522553844,4838386,2073594,True
200,50,0.07567659293795183,0.000335115097994417,225.82269014693156,0.0,0.01042993160476302,0.013639057293637236,4838385,2073594,True
200,100,0.11990147660272206,0.0005033513033751895,238.20634971784216,0.0,0.01159159064513915,0.016095444057031005,4838383,2073594,True
200,200,0.1723346239145488,0.0007555264864868773,228.09871923337536,0.0,0.01063899483280617,0.014959027851542128,4838381,2073592,True
200,500,0.2657470096584843,0.0012759047057557282,208.2812364118371,0.0,0.00888637556250127,0.010692433942108392,4838372,2073589,True
