asset,ks_statistic,ks_p_value,mean_lambda,var_lambda,n_increments
BTC,0.13184748370693303,0.0,10.00802001197036,4676.904180554157,92760
ETH,0.19590047150532264,0.0,4.781868093587957,782.8880260828171,94734
HY_GOF,0.5596063462608465,0.00037698529269823895,-0.0071431961585900015,0.009084643365930158,100
