lookback_ms,horizon_ms,threshold_bps,cost_bps,n_trades,trades_per_day,avg_return_bps,std_return_bps,hit_rate,gross_sharpe,net_avg_return_bps,net_sharpe,oos_days
25,25,1.0,2.0,31639,15066,0.24150706078392178,2.2388728762070635,0.44157527102626504,252.958620484123,-1.7584929392160784,-1841.8755401655071,2.1
50,50,1.0,2.0,33107,15765,0.3653760380573923,2.157046145196188,0.5141208807804996,406.3294337709035,-1.634623961942608,-1817.841784085908,2.1
100,100,1.0,2.0,35392,16853,0.38196499393538963,1.8895425963096104,0.523508137432188,501.36878409545477,-1.6180350060646105,-2123.839243110633,2.1
50,50,0.5,2.0,79885,38040,0.26848449374546024,1.569427880345349,0.4440383050635288,637.4530550022906,-1.7315155062545398,-4111.074847742329,2.1
50,50,2.0,2.0,7241,3448,0.6325080621422292,3.8628017635473353,0.6171799475210606,183.69640646665434,-1.3674919378577708,-397.15439200221124,2.1
