alpha,beta,se_beta,t_statistic,p_value,r_squared,n,horizon_ms,lookback_ms
-1.2440238492613531e-08,0.14197566162880154,0.0003270338385568536,434.1314105455164,0.0,0.015342234194498316,12095928,50,100
-2.6391130698053176e-08,0.21095430840626325,0.00046512520121789287,453.5430629299302,0.0,0.016721471456526915,12095928,100,100
-5.559674220207536e-08,0.28590875433724067,0.0006840534417351086,417.9625989630725,0.0,0.014236668738311531,12095928,200,100
-1.151508426101671e-07,0.3805921250647434,0.001009557416334844,376.98908344061016,0.0,0.011613027120717323,12095928,400,100
-2.3662815655780622e-07,0.45547982676824794,0.0014943590006287963,304.7994669129648,0.0,0.007621955907529787,12095928,800,100
-2.970966385356831e-07,0.5059789317949578,0.0016931332405110897,298.84176843768233,0.0,0.007329068466858546,12095928,1000,100
